"station_id";"name";"latitude";"longitude";"type";"charging_speed";"charging_per_kwh"
7492;"Quay Car Park";54.6515;-8.11286;"Type2";"22kW";"N/A"
7494;"Station Road";54.4784;-8.27569;"Type2";"22kW";"N/A"
7495;"Strand Road Car Park";55.1369;-8.1034;"Type2";"22kW";"N/A"
7547;"Ballynahinch Castle Hotel";53.4604;-9.86296;"Type2";"22kW";"N/A"
7548;"Barrack Street Car Park";53.1978;-8.57084;"Type2";"22kW";"N/A"
7549;"Dolphin Beach House";53.4978;-10.0944;"Type2";"22kW";"N/A"
7550;"Dunkellin Terrace";53.0921;-8.22155;"Type2";"22kW";"N/A"
7551;"Dyke Road Car Park";53.2782;-9.0507;"Type2";"22kW";"N/A"
7552;"Galway Retail Park";53.2802;-9.0496;"Type2";"22kW";"N/A"
7553;"Irish Rail";53.2995;-8.75104;"Type2";"22kW";"N/A"
7554;"Irish Rail";53.0666;-8.81492;"Type2";"22kW";"N/A"
7555;"Menlo Park Hotel";53.2881;-9.0479;"Type2";"22kW";"N/A"
7556;"Monaghan and Sons Centra";53.2922;-9.0193;"Type2";"22kW";"N/A"
7557;"Raheen Woods Hotel";53.3009;-8.7636;"Type2";"22kW";"N/A"
7558;"Station House Courtyard";53.4889;-10.0196;"Type2";"22kW";"N/A"
7559;"The Twelve Hotel";53.2513;-9.15233;"Type2";"22kW";"N/A"
7560;"Brandon Car Park";52.2666;-9.70961;"Type2";"22kW";"N/A"
7561;"Garvey's Car Park";52.2709;-9.7099;"Type2";"22kW";"N/A"
7562;"Glamping Campsite";51.8715;-9.64445;"Type2";"22kW";"N/A"
7563;"Kenmare Park Hotel";51.8787;-9.58161;"Type2";"22kW";"N/A"
7564;"Killarney Park Hotel";52.0575;-9.5136;"Type2";"22kW";"N/A"
7565;"Lewis Road";52.0615;-9.50604;"Type2";"22kW";"N/A"
7566;"Marina Car Park";52.1395;-10.2788;"Type2";"22kW";"N/A"
7567;"Mary Street Car Park";52.2679;-9.7075;"Type2";"22kW";"N/A"
7568;"Off Courthouse Lawn";52.449;-9.48427;"Type2";"22kW";"N/A"
7569;"The Europe Hotel and Resort";52.0672;-9.57249;"Type2";"22kW";"N/A"
7570;"The Square";52.4446;-9.48584;"Type2";"22kW";"N/A"
7571;"Whytes Shop";51.8842;-9.58964;"Type2";"22kW";"N/A"
7585;"Bush Hotel";53.9462;-8.09385;"Type2";"22kW";"N/A"
7587;"St. Georges Terrace";53.9439;-8.09873;"Type2";"22kW";"N/A"
7588;"Bedford Row";52.6639;-8.6292;"Type2";"22kW";"N/A"
7589;"Merchants Quay";52.6672;-8.6237;"Type2";"22kW";"N/A"
7590;"Milk Market";52.6638;-8.6216;"Type2";"22kW";"N/A"
7591;"Perry Square";52.6582;-8.6294;"Type2";"22kW";"N/A"
7592;"Perry Street";52.6597;-8.6276;"Type2";"22kW";"N/A"
7593;"Woodlands House Hotel";52.5632;-8.76514;"Type2";"22kW";"N/A"
7599;"Castlebar Street";53.8007;-9.5199;"Type2";"22kW";"N/A"
7600;"Humbert Street Car Park";54.1161;-9.15317;"Type2";"22kW";"N/A"
7601;"James Street Car Park";53.8005;-9.5241;"Type2";"22kW";"N/A"
7602;"Market Street Car Park";53.8569;-9.3007;"Type2";"22kW";"N/A"
7603;"Moy Court";54.116;-9.14928;"Type2";"22kW";"N/A"
7604;"Tesco Swinford";53.9368;-8.95479;"Type2";"22kW";"N/A"
7605;"The Mall";53.8534;-9.2985;"Type2";"22kW";"N/A"
7606;"The McWilliam Park Hotel";53.7246;-8.99053;"Type2";"22kW";"N/A"
